Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
AMDAthalon_70,2000,1.65,68.3,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_71,2166,1.65,68.3,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_72,2100,1.65,68.3,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_73,2200,1.65,68.3,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_74,2333,1.65,76.8,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_75,2200,1.65,76.8,130,54.3,101,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_76,1800,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_77,1800,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_78,2000,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_79,2000,1.5,89,130,68.5,144,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_8,650,1.6,36,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_80,2000,1.4,51,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
